Edge Weight,Source,Target
-5.5603e-07,fertility_control_facilities_per_capita,land_removal_for_urban_and_industrial_use
3.801e-06,fertility_control_facilities_per_capita,persistent_pollution_generation_industry
-0.00058892,fertility_control_facilities_per_capita,fertility_control_allocation_per_capita
0.11601,fertility_control_facilities_per_capita,indicated_services_output_per_capita_1
0.11601,fertility_control_facilities_per_capita,indicated_services_output_per_capita_2
0.11601,fertility_control_facilities_per_capita,indicated_services_output_per_capita
3.8656e-06,fertility_control_facilities_per_capita,persistent_pollution_generation_rate
-5.5603e-06,fertility_control_facilities_per_capita,urban_and_industrial_land_required
0.00041013,fertility_control_facilities_per_capita,per_capita_resource_use_multiplier
-0.00011991,fertility_control_facilities_per_capita,crowding_multiplier_from_industry
5.2186e-05,fertility_control_facilities_per_capita,lifetime_multiplier_from_crowding
-7.6001e-08,fertility_control_facilities_per_capita,jobs_per_industrial_capital_unit
-8.7877e-05,fertility_control_facilities_per_capita,potential_jobs_industrial_sector
0.055568,fertility_control_facilities_per_capita,fertility_control_effectiveness
0.00057819,fertility_control_facilities_per_capita,family_response_to_social_norm
-0.018451,fertility_control_facilities_per_capita,total_agricultural_investment
0.021857,fertility_control_facilities_per_capita,industrial_capital_investment
-2.353e-07,fertility_control_facilities_per_capita,jobs_per_service_capital_unit
-0.0001287,fertility_control_facilities_per_capita,potential_jobs_service_sector
0.002166,fertility_control_facilities_per_capita,desired_completed_family_size
0.00020174,fertility_control_facilities_per_capita,lifetime_multiplier_from_food
0.071068,fertility_control_facilities_per_capita,industrial_output_per_capita
-0.0001107,fertility_control_facilities_per_capita,fraction_of_population_urban
0.086214,fertility_control_facilities_per_capita,indicated_food_per_capita_1
0.086214,fertility_control_facilities_per_capita,indicated_food_per_capita_2
-0.015968,fertility_control_facilities_per_capita,current_agricultural_inputs
-0.00019066,fertility_control_facilities_per_capita,labor_utilization_fraction
-0.0034062,fertility_control_facilities_per_capita,service_capital_investment
-0.001692,fertility_control_facilities_per_capita,need_for_fertility_control
0.010635,fertility_control_facilities_per_capita,health_services_per_capita
0.086214,fertility_control_facilities_per_capita,indicated_food_per_capita
0.10881,fertility_control_facilities_per_capita,service_output_per_capita
0.0004916,fertility_control_facilities_per_capita,family_income_expectation
0.0030408,fertility_control_facilities_per_capita,desired_total_fertility
0.0010823,fertility_control_facilities_per_capita,maximum_total_fertility
-3.1812e-06,fertility_control_facilities_per_capita,land_development_rate
9.019e-05,fertility_control_facilities_per_capita,fecundity_multiplier
-8.3027e-05,fertility_control_facilities_per_capita,maturation_14_to_15
1.9971e-07,fertility_control_facilities_per_capita,maturation_44_to_45
1.2694e-07,fertility_control_facilities_per_capita,maturation_64_to_65
0.00022183,fertility_control_facilities_per_capita,resource_usage_rate
-9.3592e-06,fertility_control_facilities_per_capita,mortality_45_to_64
-4.819e-06,fertility_control_facilities_per_capita,mortality_15_to_44
-0.0012883,fertility_control_facilities_per_capita,Population_0_To_14
-1.593e-05,fertility_control_facilities_per_capita,mortality_65_plus
-1.0348e-05,fertility_control_facilities_per_capita,mortality_0_to_14
0.18097,fertility_control_facilities_per_capita,food_per_capita
-5.9915e-06,fertility_control_facilities_per_capita,deaths_15_to_44
-2.5389e-06,fertility_control_facilities_per_capita,deaths_45_to_64
-0.25065,fertility_control_facilities_per_capita,total_fertility
0.0086977,fertility_control_facilities_per_capita,life_expectancy
-4.293e-05,fertility_control_facilities_per_capita,deaths_0_to_14
-2.0501e-06,fertility_control_facilities_per_capita,deaths_65_plus
0.00078685,fertility_control_facilities_per_capita,food_ratio
-0.0012883,fertility_control_facilities_per_capita,population
-0.0051939,fertility_control_facilities_per_capita,births
-5.351e-05,fertility_control_facilities_per_capita,deaths
-0.00021658,fertility_control_facilities_per_capita,jobs
1,fertility_control_facilities_per_capita,GDP_per_capita
-4.0034e-08,fertility_control_facilities_per_capita,inflation_CAN
-5.3642e-07,persistent_pollution_appearance_rate,fraction_services_allocated_to_fertility_control
-0.00013716,persistent_pollution_appearance_rate,lifetime_multiplier_from_persistent_pollution
-0.00011447,persistent_pollution_appearance_rate,fertility_control_allocation_per_capita
0.011705,persistent_pollution_appearance_rate,persistent_pollution_assimilation_rate
0.0072198,persistent_pollution_appearance_rate,assimilation_half_life_multiplier
0.0016992,persistent_pollution_appearance_rate,land_fertility_degredation_rate
1,persistent_pollution_appearance_rate,land_fertility_degredation
0.1805,persistent_pollution_appearance_rate,persistent_pollution_index
-0.00018533,persistent_pollution_appearance_rate,need_for_fertility_control
-0.00064839,persistent_pollution_appearance_rate,maximum_total_fertility
0.01083,persistent_pollution_appearance_rate,assimilation_half_life
0.024547,persistent_pollution_appearance_rate,Persistent_Pollution
-5.4033e-05,persistent_pollution_appearance_rate,fecundity_multiplier
-3.6515e-07,persistent_pollution_appearance_rate,maturation_14_to_15
-1.1965e-07,persistent_pollution_appearance_rate,maturation_44_to_45
-7.6062e-08,persistent_pollution_appearance_rate,maturation_64_to_65
5.6072e-06,persistent_pollution_appearance_rate,mortality_45_to_64
2.8871e-06,persistent_pollution_appearance_rate,mortality_15_to_44
9.544e-06,persistent_pollution_appearance_rate,mortality_65_plus
6.1993e-06,persistent_pollution_appearance_rate,mortality_0_to_14
3.5896e-06,persistent_pollution_appearance_rate,deaths_15_to_44
1.5211e-06,persistent_pollution_appearance_rate,deaths_45_to_64
-0.00014997,persistent_pollution_appearance_rate,total_fertility
-0.0052109,persistent_pollution_appearance_rate,life_expectancy
5.4772e-06,persistent_pollution_appearance_rate,deaths_0_to_14
1.2282e-06,persistent_pollution_appearance_rate,deaths_65_plus
-3.1076e-06,persistent_pollution_appearance_rate,births
1.1816e-05,persistent_pollution_appearance_rate,deaths
-7.4871e-08,effective_health_services_per_capita,fraction_of_industrial_output_alloc_to_consumption_var
1.6446e-05,effective_health_services_per_capita,fraction_of_industrial_output_allocated_to_agriculture_1
1.6602e-05,effective_health_services_per_capita,fraction_of_industrial_output_allocated_to_agriculture_2
1.6446e-05,effective_health_services_per_capita,fraction_of_industrial_output_allocated_to_agriculture
-1.9481e-05,effective_health_services_per_capita,fraction_of_industrial_output_allocated_to_investment
3.0359e-06,effective_health_services_per_capita,fraction_of_industrial_output_allocated_to_services_1
3.0359e-06,effective_health_services_per_capita,fraction_of_industrial_output_allocated_to_services_2
3.0359e-06,effective_health_services_per_capita,fraction_of_industrial_output_allocated_to_services
6.0052e-05,effective_health_services_per_capita,fraction_services_allocated_to_fertility_control
-4.8251e-07,effective_health_services_per_capita,urban_and_industrial_land_required_per_capita
0.0022521,effective_health_services_per_capita,land_yield_technology_change_rate_multiplier
-0.00024952,effective_health_services_per_capita,completed_multiplier_from_perceived_lifetime
0.0071697,effective_health_services_per_capita,lifetime_multiplier_from_health_services_1
0.018046,effective_health_services_per_capita,lifetime_multiplier_from_health_services_2
1.7454e-07,effective_health_services_per_capita,land_removal_for_urban_and_industrial_use
-1.1931e-06,effective_health_services_per_capita,persistent_pollution_generation_industry
0.018046,effective_health_services_per_capita,lifetime_multiplier_from_health_services
2.4097e-05,effective_health_services_per_capita,fertility_control_facilities_per_capita
0.012672,effective_health_services_per_capita,fertility_control_allocation_per_capita
-0.036415,effective_health_services_per_capita,indicated_services_output_per_capita_1
-0.036415,effective_health_services_per_capita,indicated_services_output_per_capita_2
-0.036415,effective_health_services_per_capita,indicated_services_output_per_capita
-1.2134e-06,effective_health_services_per_capita,persistent_pollution_generation_rate
1.7454e-06,effective_health_services_per_capita,urban_and_industrial_land_required
-0.00012874,effective_health_services_per_capita,per_capita_resource_use_multiplier
3.7639e-05,effective_health_services_per_capita,crowding_multiplier_from_industry
-1.6381e-05,effective_health_services_per_capita,lifetime_multiplier_from_crowding
2.3857e-08,effective_health_services_per_capita,jobs_per_industrial_capital_unit
2.7585e-05,effective_health_services_per_capita,potential_jobs_industrial_sector
5.3209e-06,effective_health_services_per_capita,fertility_control_effectiveness
-0.0001815,effective_health_services_per_capita,family_response_to_social_norm
0.005792,effective_health_services_per_capita,total_agricultural_investment
-0.0068612,effective_health_services_per_capita,industrial_capital_investment
7.386e-08,effective_health_services_per_capita,jobs_per_service_capital_unit
4.0399e-05,effective_health_services_per_capita,potential_jobs_service_sector
-0.00067991,effective_health_services_per_capita,desired_completed_family_size
-6.3327e-05,effective_health_services_per_capita,lifetime_multiplier_from_food
-0.022308,effective_health_services_per_capita,industrial_output_per_capita
3.4749e-05,effective_health_services_per_capita,fraction_of_population_urban
-0.027062,effective_health_services_per_capita,indicated_food_per_capita_1
-0.027062,effective_health_services_per_capita,indicated_food_per_capita_2
0.0050124,effective_health_services_per_capita,current_agricultural_inputs
-9.0704e-06,effective_health_services_per_capita,labor_utilization_fraction
0.0010692,effective_health_services_per_capita,service_capital_investment
0.020748,effective_health_services_per_capita,need_for_fertility_control
-0.0033383,effective_health_services_per_capita,health_services_per_capita
-0.027062,effective_health_services_per_capita,indicated_food_per_capita
-0.034156,effective_health_services_per_capita,service_output_per_capita
0.011235,effective_health_services_per_capita,perceived_life_expectancy
-0.00015431,effective_health_services_per_capita,family_income_expectation
-0.0015763,effective_health_services_per_capita,desired_total_fertility
0.068958,effective_health_services_per_capita,maximum_total_fertility
9.9861e-07,effective_health_services_per_capita,land_development_rate
0.0057465,effective_health_services_per_capita,fecundity_multiplier
5.3317e-05,effective_health_services_per_capita,maturation_14_to_15
1.616e-05,effective_health_services_per_capita,maturation_44_to_45
1.0123e-05,effective_health_services_per_capita,maturation_64_to_65
0.00010428,effective_health_services_per_capita,Population_15_To_44
4.184e-05,effective_health_services_per_capita,Population_45_To_64
-6.9635e-05,effective_health_services_per_capita,resource_usage_rate
-0.00059633,effective_health_services_per_capita,mortality_45_to_64
-0.00030705,effective_health_services_per_capita,mortality_15_to_44
0.0002231,effective_health_services_per_capita,Population_0_To_14
3.5189e-05,effective_health_services_per_capita,Population_65_Plus
-0.001015,effective_health_services_per_capita,mortality_65_plus
-0.0006593,effective_health_services_per_capita,mortality_0_to_14
-0.056808,effective_health_services_per_capita,food_per_capita
-0.00038051,effective_health_services_per_capita,deaths_15_to_44
-0.00016063,effective_health_services_per_capita,deaths_45_to_64
0.014713,effective_health_services_per_capita,total_fertility
0.55418,effective_health_services_per_capita,life_expectancy
-0.00057665,effective_health_services_per_capita,deaths_0_to_14
-0.00012735,effective_health_services_per_capita,deaths_65_plus
0.00010959,effective_health_services_per_capita,labor_force
-0.00024699,effective_health_services_per_capita,food_ratio
0.00040441,effective_health_services_per_capita,population
0.0003128,effective_health_services_per_capita,births
-0.0012451,effective_health_services_per_capita,deaths
6.7984e-05,effective_health_services_per_capita,jobs
-0.3139,effective_health_services_per_capita,GDP_per_capita
1.2567e-08,effective_health_services_per_capita,inflation_CAN
2.3853e-07,Delayed_Labor_Utilization_Fraction,fraction_of_industrial_output_alloc_to_consumption_var
-1.3546e-12,Delayed_Labor_Utilization_Fraction,fraction_of_agricultural_inputs_alloc_to_land_development
3.6332e-05,Delayed_Labor_Utilization_Fraction,fraction_of_industrial_output_allocated_to_agriculture_1
3.6676e-05,Delayed_Labor_Utilization_Fraction,fraction_of_industrial_output_allocated_to_agriculture_2
3.6332e-05,Delayed_Labor_Utilization_Fraction,fraction_of_industrial_output_allocated_to_agriculture
-2.9102e-05,Delayed_Labor_Utilization_Fraction,fraction_of_industrial_output_allocated_to_investment
-7.2297e-06,Delayed_Labor_Utilization_Fraction,fraction_of_industrial_output_allocated_to_services_1
-7.2297e-06,Delayed_Labor_Utilization_Fraction,fraction_of_industrial_output_allocated_to_services_2
-7.2297e-06,Delayed_Labor_Utilization_Fraction,fraction_of_industrial_output_allocated_to_services
-5.656e-06,Delayed_Labor_Utilization_Fraction,fraction_services_allocated_to_fertility_control
1.5371e-06,Delayed_Labor_Utilization_Fraction,urban_and_industrial_land_required_per_capita
-1.0059e-05,Delayed_Labor_Utilization_Fraction,land_yield_technology_change_rate_multiplier
3.6495e-05,Delayed_Labor_Utilization_Fraction,marginal_productivity_of_agricultural_inputs
1.2764e-07,Delayed_Labor_Utilization_Fraction,land_yield_multiplier_from_air_pollution_2
1.0505e-06,Delayed_Labor_Utilization_Fraction,lifetime_multiplier_from_health_services_1
2.6442e-06,Delayed_Labor_Utilization_Fraction,lifetime_multiplier_from_health_services_2
7.2357e-07,Delayed_Labor_Utilization_Fraction,land_yield_multipler_from_air_pollution_1
3.884e-07,Delayed_Labor_Utilization_Fraction,land_removal_for_urban_and_industrial_use
1.7233e-05,Delayed_Labor_Utilization_Fraction,marginal_productivity_of_land_development
7.2357e-07,Delayed_Labor_Utilization_Fraction,land_yield_multiplier_from_air_pollution
2.0726e-05,Delayed_Labor_Utilization_Fraction,persistent_pollution_generation_industry
2.6442e-06,Delayed_Labor_Utilization_Fraction,lifetime_multiplier_from_health_services
9.7678e-07,Delayed_Labor_Utilization_Fraction,fertility_control_facilities_per_capita
-0.00076714,Delayed_Labor_Utilization_Fraction,fertility_control_allocation_per_capita
-3.7735e-07,Delayed_Labor_Utilization_Fraction,land_life_multiplier_from_land_yield_1
-3.2092e-07,Delayed_Labor_Utilization_Fraction,land_life_multiplier_from_land_yield_2
0.11601,Delayed_Labor_Utilization_Fraction,indicated_services_output_per_capita_1
0.11601,Delayed_Labor_Utilization_Fraction,indicated_services_output_per_capita_2
-3.7735e-07,Delayed_Labor_Utilization_Fraction,land_life_multiplier_from_land_yield
0.11601,Delayed_Labor_Utilization_Fraction,indicated_services_output_per_capita
2.1078e-05,Delayed_Labor_Utilization_Fraction,persistent_pollution_generation_rate
0.00014652,Delayed_Labor_Utilization_Fraction,effective_health_services_per_capita
3.884e-06,Delayed_Labor_Utilization_Fraction,urban_and_industrial_land_required
0.00041013,Delayed_Labor_Utilization_Fraction,per_capita_resource_use_multiplier
-0.00011991,Delayed_Labor_Utilization_Fraction,crowding_multiplier_from_industry
3.0929e-05,Delayed_Labor_Utilization_Fraction,lifetime_multiplier_from_crowding
-7.6001e-08,Delayed_Labor_Utilization_Fraction,jobs_per_industrial_capital_unit
-8.6226e-05,Delayed_Labor_Utilization_Fraction,potential_jobs_industrial_sector
0.00048313,Delayed_Labor_Utilization_Fraction,industrial_capital_depreciation
2.1569e-07,Delayed_Labor_Utilization_Fraction,fertility_control_effectiveness
0.00057819,Delayed_Labor_Utilization_Fraction,family_response_to_social_norm
0.033644,Delayed_Labor_Utilization_Fraction,total_agricultural_investment
0.046195,Delayed_Labor_Utilization_Fraction,industrial_capital_investment
0.0004969,Delayed_Labor_Utilization_Fraction,capacity_utilization_fraction
-2.2689e-07,Delayed_Labor_Utilization_Fraction,jobs_per_service_capital_unit
-0.0001277,Delayed_Labor_Utilization_Fraction,potential_jobs_service_sector
0.002166,Delayed_Labor_Utilization_Fraction,desired_completed_family_size
2.8286e-07,Delayed_Labor_Utilization_Fraction,lifetime_multiplier_from_food
0.071068,Delayed_Labor_Utilization_Fraction,industrial_output_per_capita
-0.00033819,Delayed_Labor_Utilization_Fraction,service_capital_depreciation
0.086211,Delayed_Labor_Utilization_Fraction,indicated_food_per_capita_1
0.086211,Delayed_Labor_Utilization_Fraction,indicated_food_per_capita_2
0.029116,Delayed_Labor_Utilization_Fraction,current_agricultural_inputs
-0.00018833,Delayed_Labor_Utilization_Fraction,labor_utilization_fraction
0.022517,Delayed_Labor_Utilization_Fraction,service_capital_investment
-0.0019541,Delayed_Labor_Utilization_Fraction,need_for_fertility_control
0.010255,Delayed_Labor_Utilization_Fraction,health_services_per_capita
0.086211,Delayed_Labor_Utilization_Fraction,indicated_food_per_capita
0.10492,Delayed_Labor_Utilization_Fraction,service_output_per_capita
0.0004916,Delayed_Labor_Utilization_Fraction,family_income_expectation
0.0030408,Delayed_Labor_Utilization_Fraction,desired_total_fertility
0.00016516,Delayed_Labor_Utilization_Fraction,maximum_total_fertility
5.8007e-06,Delayed_Labor_Utilization_Fraction,land_development_rate
-0.0022641,Delayed_Labor_Utilization_Fraction,average_life_of_land
1.3764e-05,Delayed_Labor_Utilization_Fraction,fecundity_multiplier
9.3011e-08,Delayed_Labor_Utilization_Fraction,maturation_14_to_15
3.0478e-08,Delayed_Labor_Utilization_Fraction,maturation_44_to_45
1.9373e-08,Delayed_Labor_Utilization_Fraction,maturation_64_to_65
0.0012096,Delayed_Labor_Utilization_Fraction,resource_usage_rate
0.0067638,Delayed_Labor_Utilization_Fraction,Industrial_Capital
-1.4283e-06,Delayed_Labor_Utilization_Fraction,mortality_45_to_64
-7.3542e-07,Delayed_Labor_Utilization_Fraction,mortality_15_to_44
2.0156e-10,Delayed_Labor_Utilization_Fraction,land_erosion_rate
0.17957,Delayed_Labor_Utilization_Fraction,industrial_output
-2.4311e-06,Delayed_Labor_Utilization_Fraction,mortality_65_plus
-1.5791e-06,Delayed_Labor_Utilization_Fraction,mortality_0_to_14
0.00025374,Delayed_Labor_Utilization_Fraction,food_per_capita
-0.0067638,Delayed_Labor_Utilization_Fraction,Service_Capital
-9.1435e-07,Delayed_Labor_Utilization_Fraction,deaths_15_to_44
-3.8746e-07,Delayed_Labor_Utilization_Fraction,deaths_45_to_64
0.0023747,Delayed_Labor_Utilization_Fraction,total_fertility
0.0013273,Delayed_Labor_Utilization_Fraction,life_expectancy
0.26512,Delayed_Labor_Utilization_Fraction,service_output
-1.3952e-06,Delayed_Labor_Utilization_Fraction,deaths_0_to_14
-3.1285e-07,Delayed_Labor_Utilization_Fraction,deaths_65_plus
0.00094174,Delayed_Labor_Utilization_Fraction,land_yield
1.1032e-06,Delayed_Labor_Utilization_Fraction,food_ratio
4.9209e-05,Delayed_Labor_Utilization_Fraction,births
-3.0098e-06,Delayed_Labor_Utilization_Fraction,deaths
0.00064115,Delayed_Labor_Utilization_Fraction,food
-0.00021393,Delayed_Labor_Utilization_Fraction,jobs
1,Delayed_Labor_Utilization_Fraction,GDP_per_capita
-4.0035e-08,Delayed_Labor_Utilization_Fraction,inflation_CAN
1.394e-08,agricultural_input_per_hectare,fraction_of_industrial_output_alloc_to_consumption_var
-0.00020027,agricultural_input_per_hectare,fraction_of_agricultural_inputs_alloc_to_land_development
5.6637e-05,agricultural_input_per_hectare,fraction_of_industrial_output_allocated_to_agriculture_1
5.7175e-05,agricultural_input_per_hectare,fraction_of_industrial_output_allocated_to_agriculture_2
5.6637e-05,agricultural_input_per_hectare,fraction_of_industrial_output_allocated_to_agriculture
-6.1584e-05,agricultural_input_per_hectare,fraction_of_industrial_output_allocated_to_investment
4.9473e-06,agricultural_input_per_hectare,fraction_of_industrial_output_allocated_to_services_1
4.9473e-06,agricultural_input_per_hectare,fraction_of_industrial_output_allocated_to_services_2
1.6591e-05,agricultural_input_per_hectare,fraction_of_agricultural_inputs_for_land_maintenance
4.9473e-06,agricultural_input_per_hectare,fraction_of_industrial_output_allocated_to_services
-6.6697e-07,agricultural_input_per_hectare,fraction_services_allocated_to_fertility_control
8.9831e-08,agricultural_input_per_hectare,urban_and_industrial_land_required_per_capita
0.0044015,agricultural_input_per_hectare,land_yield_technology_change_rate_multiplier
0.028959,agricultural_input_per_hectare,marginal_productivity_of_agricultural_inputs
-1.761e-05,agricultural_input_per_hectare,completed_multiplier_from_perceived_lifetime
2.2231e-05,agricultural_input_per_hectare,marginal_land_yield_multiplier_from_capital
-2.8669e-05,agricultural_input_per_hectare,persistent_pollution_generation_agriculture
1.0288e-08,agricultural_input_per_hectare,land_yield_multiplier_from_air_pollution_2
5.8315e-08,agricultural_input_per_hectare,land_yield_multipler_from_air_pollution_1
4.3621e-08,agricultural_input_per_hectare,land_removal_for_urban_and_industrial_use
-0.0082053,agricultural_input_per_hectare,marginal_productivity_of_land_development
5.8315e-08,agricultural_input_per_hectare,land_yield_multiplier_from_air_pollution
1.5862e-06,agricultural_input_per_hectare,persistent_pollution_generation_industry
1.7007e-06,agricultural_input_per_hectare,fertility_control_facilities_per_capita
-0.00015247,agricultural_input_per_hectare,fertility_control_allocation_per_capita
0.00016667,agricultural_input_per_hectare,land_life_multiplier_from_land_yield_1
0.00014174,agricultural_input_per_hectare,land_life_multiplier_from_land_yield_2
0.0067796,agricultural_input_per_hectare,indicated_services_output_per_capita_1
0.0067796,agricultural_input_per_hectare,indicated_services_output_per_capita_2
0.00016667,agricultural_input_per_hectare,land_life_multiplier_from_land_yield
0.0067796,agricultural_input_per_hectare,indicated_services_output_per_capita
-2.7543e-05,agricultural_input_per_hectare,persistent_pollution_generation_rate
-0.00063878,agricultural_input_per_hectare,land_yield_multiplier_from_capital
4.3621e-07,agricultural_input_per_hectare,urban_and_industrial_land_required
-5.0715e-07,agricultural_input_per_hectare,Delayed_Labor_Utilization_Fraction
3.6026e-06,agricultural_input_per_hectare,potential_jobs_agricultural_sector
2.3968e-05,agricultural_input_per_hectare,per_capita_resource_use_multiplier
-7.0074e-06,agricultural_input_per_hectare,crowding_multiplier_from_industry
1.3366e-06,agricultural_input_per_hectare,lifetime_multiplier_from_crowding
-0.0025629,agricultural_input_per_hectare,land_fertility_regeneration_time
-4.4416e-09,agricultural_input_per_hectare,jobs_per_industrial_capital_unit
6.4659e-06,agricultural_input_per_hectare,potential_jobs_industrial_sector
0.0033964,agricultural_input_per_hectare,industrial_capital_depreciation
3.7553e-07,agricultural_input_per_hectare,fertility_control_effectiveness
3.379e-05,agricultural_input_per_hectare,family_response_to_social_norm
0.021627,agricultural_input_per_hectare,total_agricultural_investment
-0.01714,agricultural_input_per_hectare,industrial_capital_investment
-2.9967e-08,agricultural_input_per_hectare,capacity_utilization_fraction
5.2268e-09,agricultural_input_per_hectare,jobs_per_service_capital_unit
2.8589e-06,agricultural_input_per_hectare,potential_jobs_service_sector
0.00012658,agricultural_input_per_hectare,desired_completed_family_size
-0.00012377,agricultural_input_per_hectare,lifetime_multiplier_from_food
0.019229,agricultural_input_per_hectare,development_cost_per_hectare
0.0041533,agricultural_input_per_hectare,industrial_output_per_capita
2.4525e-06,agricultural_input_per_hectare,fraction_of_population_urban
1.5389e-14,agricultural_input_per_hectare,Arable_Land_in_Gigahectares
0.0050382,agricultural_input_per_hectare,indicated_food_per_capita_1
0.0050382,agricultural_input_per_hectare,indicated_food_per_capita_2
0.026905,agricultural_input_per_hectare,current_agricultural_inputs
0.0015955,agricultural_input_per_hectare,land_fertility_regeneration
6.5164e-06,agricultural_input_per_hectare,labor_utilization_fraction
0.0037624,agricultural_input_per_hectare,service_capital_investment
-0.00023043,agricultural_input_per_hectare,need_for_fertility_control
-0.00023624,agricultural_input_per_hectare,health_services_per_capita
0.0050382,agricultural_input_per_hectare,indicated_food_per_capita
-0.0024171,agricultural_input_per_hectare,service_output_per_capita
0.00079295,agricultural_input_per_hectare,perceived_life_expectancy
2.8729e-05,agricultural_input_per_hectare,family_income_expectation
-1.5588e-05,agricultural_input_per_hectare,Potentially_Arable_Land
0.00013382,agricultural_input_per_hectare,desired_total_fertility
-0.00049806,agricultural_input_per_hectare,maximum_total_fertility
1.0772e-05,agricultural_input_per_hectare,arable_land_harvested
